mean,std,range,jitter,loss_rate,label
10.7455,0.5045540109839581,1.9600000000000009,0.3778947368421057,0.0,0
10.7745,0.46818238967308473,1.3800000000000008,0.3247368421052636,0.0,0
10.758500000000002,0.47010929580258276,1.3800000000000008,0.32947368421052675,0.0,0
10.741500000000002,0.4711929010500903,1.3800000000000008,0.2815789473684215,0.0,0
10.6735,0.4073361633835132,1.3800000000000008,0.21578947368421098,0.0,0
10.6735,0.4073361633835132,1.3800000000000008,0.21578947368421098,0.0,0
10.6735,0.4073361633835132,1.3800000000000008,0.19210526315789514,0.0,0
10.6565,0.40503425781037344,1.3800000000000008,0.1978947368421057,0.0,0
10.639500000000002,0.4020009328347387,1.3800000000000008,0.1926315789473688,0.0,0
10.673000000000004,0.43933017196637,1.3800000000000008,0.22210526315789514,0.0,0
10.724000000000002,0.4676152264415694,1.3800000000000008,0.22210526315789514,0.0,0
10.781000000000002,0.49801506001324913,1.3800000000000008,0.22263157894736874,0.0,0
10.827000000000002,0.5166923649522994,1.3800000000000008,0.22842105263157922,0.0,0
10.872500000000002,0.5301874668454548,1.3800000000000008,0.16210526315789503,0.0,0
10.854500000000002,0.503134922262409,1.3800000000000008,0.16210526315789503,0.0,0
10.842500000000001,0.4823989531497765,1.1400000000000006,0.09578947368421073,0.0,0
10.894000000000002,0.4915729854253591,1.1400000000000006,0.09578947368421063,0.0,0
10.9395,0.499674644143567,1.1400000000000006,0.09631578947368431,0.0,0
10.985000000000003,0.503552380592129,1.1400000000000006,0.09052631578947372,0.0,0
11.041,0.5021045707818246,1.1400000000000006,0.09578947368421054,0.0,0
11.092500000000001,0.49050866455140246,1.1400000000000006,0.10052631578947369,0.0,0
11.143500000000001,0.47271846801241035,1.1400000000000006,0.09526315789473677,0.0,0
11.194,0.46040634226735,1.1400000000000006,0.1005263157894736,0.0,0
11.239500000000001,0.4389814916371763,1.1400000000000006,0.09999999999999983,0.0,0
11.290500000000002,0.400717793465676,1.1400000000000006,0.09999999999999983,0.0,0
11.3415,0.3510594678968224,1.1400000000000006,0.09999999999999983,0.0,0
11.397500000000003,0.2861096817655774,1.0299999999999994,0.09947368421052606,0.0,0
11.443000000000001,0.20993094102585255,1.0299999999999994,0.10473684210526289,0.0,0
11.4885,0.04628984769903633,0.11999999999999922,0.05684210526315762,0.0,0
